stations,latitude,longitude,energy zone
99450,59.7534,19.4087,SE3
85130,58.2022,16.006,SE3
81040,58.0578,11.6454,SE3
83090,58.2363,13.6332,SE3
95380,59.6396,15.418,SE3
103570,60.9417,13.8977,SE3
89240,58.3928,19.197,SE3
93340,59.5956,13.9525,SE3
105630,60.5333,15.5333,SE3
81060,58.0944,11.3348,SE3
85160,58.2662,15.7431,SE3
105640,60.5,15.45,SE3
103600,60.6496,13.014,SE3
93360,59.6166,13.75,SE3
83130,58.2212,13.0607,SE3
85180,58.2884,15.2336,SE3
83150,58.1535,13.0387,SE3
97490,59.8139,17.6469,SE3
85210,58.3935,15.2184,SE3
83170,58.288,13.7995,SE3
85220,58.3833,15.2,SE3
97510,59.8471,17.632,SE3
91370,59.6072,11.9321,SE3
81130,58.2159,11.9321,SE3
97520,59.8471,17.632,SE3
85240,58.398,15.523,SE3
97530,59.9,17.593,SE3
81150,58.25,11.45,SE3
83200,58.37,13.52,SE3
85250,58.3479,15.6455,SE3
95490,59.8076,15.5405,SE3
83210,58.3472,13.127,SE3
95500,59.8333,15.6833,SE3
97560,59.4,17.5639,SE3
85270,58.4447,15.3772,SE3
83230,58.3943,13.8406,SE3
85280,58.4855,16.002,SE3
83240,58.4,13.55,SE3
95530,59.8707,15.2544,SE3
81210,58.3681,11.935,SE3
81220,58.3571,11.2276,SE3
83270,58.407,13.4377,SE3
83280,58.4524,13.6641,SE3
93520,59.85,13.1666,SE3
85330,58.5535,15.0149,SE3
97620,59.1166,17.2,SE3
97630,59.6166,17.65,SE3
87400,58.6772,17.1199,SE3
77170,57.2833,17.0042,SE3
83320,58.4835,13.1479,SE3
77180,57.2893,17.9623,SE3
91520,59.8633,11.9746,SE3
75140,57.2166,15.9166,SE3
93580,59.957,13.5298,SE3
83340,58.5586,13.3508,SE3
75160,57.2666,15.9333,SE3
95640,59.75,15.6666,SE3
87450,58.7404,17.8655,SE3
97700,59.8663,17.2799,SE3
77220,57.3665,17.0976,SE3
81320,58.5289,11.5724,SE3
95660,59.1164,15.2636,SE3
81340,58.5707,11.5572,SE3
85450,58.7557,15.1045,SE3
112080,61.1269,12.8226,SE3
73170,57.2847,13.5324,SE3
97750,59.1417,17.15,SE3
87520,59.0833,16.3167,SE3
91620,59.3,11.9333,SE3
73190,57.3166,13.4333,SE3
75240,57.3964,15.8315,SE3
83440,58.7132,13.821,SE3
114160,61.2549,14.0348,SE3
85490,58.8061,15.1253,SE3
87540,58.9,17.5666,SE3
83460,58.8,13.25,SE3
91660,59.88,11.97,SE3
73230,57.4657,13.6271,SE3
85520,58.8504,15.1611,SE3
87570,58.9159,17.9342,SE3
71190,57.3025,11.9038,SE3
73250,57.4166,13.2833,SE3
112170,61.2797,12.8568,SE3
106040,60.0989,16.3026,SE3
108100,60.1595,18.7436,SE3
106060,60.1197,16.2838,SE3
108110,60.1748,18.224,SE3
83540,58.898,13.2517,SE3
106070,60.1413,16.1715,SE3
106080,60.1316,16.1282,SE3
106100,60.169,16.3125,SE3
75380,57.6104,15.5776,SE3
85630,58.65,15.05,SE3
81540,58.894,11.0093,SE3
75400,57.6687,15.8518,SE3
108170,60.2761,18.9227,SE3
75410,57.4931,15.8528,SE3
85650,58.85,15.2833,SE3
81560,58.9333,11.2,SE3
104090,60.1417,14.3909,SE3
83610,58.2333,13.7166,SE3
73390,57.6468,13.2369,SE3
83630,58.45,13.8333,SE3
83640,58.5166,13.0666,SE3
104120,60.2,14.4,SE3
106170,60.2836,16.8857,SE3
83660,58.3165,13.1472,SE3
71380,57.6322,11.6061,SE3
81620,58.55,11.0333,SE3
73430,57.722,13.1238,SE3
83670,58.3331,13.8804,SE3
79580,57.8987,19.1592,SE3
81630,58.3333,11.2166,SE3
81640,58.8333,11.0,SE3
83690,58.8388,13.9854,SE3
98040,59.0714,18.1217,SE3
71420,57.7,11.98,SE3
73470,57.8033,13.4009,SE3
96000,59.0185,16.3709,SE3
71430,57.7166,11.7833,SE3
102170,60.2787,12.8534,SE3
83740,58.6331,13.4305,SE3
106270,60.4551,16.2662,SE3
96030,59.05,16.2166,SE3
108320,60.5256,18.3729,SE3
96040,59.0666,16.3666,SE3
71470,57.7786,11.8824,SE3
102190,60.306,12.6977,SE3
102200,60.3328,12.6775,SE3
102210,60.3548,12.6491,SE3
71500,57.8305,11.92,SE3
71510,57.8421,11.8049,SE3
73560,57.9246,13.8806,SE3
98140,59.2024,18.3272,SE3
73570,57.936,13.0668,SE3
94050,59.0963,14.3652,SE3
106340,60.4528,16.3861,SE3
104300,60.5096,14.9519,SE3
96120,59.1469,16.8536,SE3
98170,59.29,18.9146,SE3
106360,60.5641,16.5823,SE3
92030,59.0542,12.6969,SE3
98180,59.3226,18.3725,SE3
96140,59.2358,16.7429,SE3
98210,59.3417,18.0549,SE3
98230,59.3417,18.0549,SE3
94140,59.1899,14.386,SE3
73660,57.9536,13.8417,SE3
