Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Arboga;95230;SMHIs stationsnät;0.0

Parameternamn;Beskrivning;Enhet
Snödjup;momentanvärde, 1 gång/dygn, kl 06;meter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1956-12-01 00:00:00;1971-03-31 23:59:59;50.0;59.3833;15.8333

Datum;Tid (UTC);Snödjup;Kvalitet;;Tidsutsnitt:
1956-12-02;06:00:00;0.00;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1956-12-03;06:00:00;0.00;G;;Tidsperiod (fr.o.m.) = 1956-12-01 00:00:00 (UTC)
1956-12-04;06:00:00;0.00;G;;Tidsperiod (t.o.m.) = 1971-03-31 23:59:59 (UTC)
1956-12-05;06:00:00;0.00;G;;Samplingstid = Ej angivet
1956-12-06;06:00:00;0.00;G;;
1956-12-07;06:00:00;0.00;G;;Kvalitetskoderna:
1956-12-08;06:00:00;0.00;G;;Grön (G) = Kontrollerade och godkända värden.
1956-12-09;06:00:00;0.00;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1956-12-10;06:00:00;0.00;G;;
1956-12-11;06:00:00;0.00;G;;Nätinformation:
1956-12-12;06:00:00;0.00;G;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1956-12-13;06:00:00;0.00;G;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1956-12-14;06:00:00;0.00;G;;
1956-12-15;06:00:00;0.00;G;;Möjliga orsaker till saknade data:
1956-12-16;06:00:00;0.00;G;;– stationen eller givaren har varit ur funktion.
1956-12-17;06:00:00;0.00;G;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1956-12-18;06:00:00;0.00;G
1956-12-19;06:00:00;0.00;G
1956-12-20;06:00:00;0.00;G
1956-12-21;06:00:00;0.00;G
1956-12-22;06:00:00;0.00;G
1956-12-23;06:00:00;0.00;G
1956-12-24;06:00:00;0.00;G
1956-12-25;06:00:00;0.00;G
1957-01-07;06:00:00;0.00;G
1957-01-08;06:00:00;0.00;G
1957-01-09;06:00:00;0.00;G
1957-01-10;06:00:00;0.00;G
1957-01-11;06:00:00;0.00;G
1957-01-12;06:00:00;0.00;G
1957-01-13;06:00:00;0.00;G
1957-01-14;06:00:00;0.00;G
1957-01-15;06:00:00;0.00;G
1957-01-16;06:00:00;0.00;G
1957-01-17;06:00:00;0.00;G
1957-01-18;06:00:00;0.00;G
1957-01-19;06:00:00;0.00;G
1957-01-20;06:00:00;0.00;G
1957-01-21;06:00:00;0.00;G
1957-01-22;06:00:00;0.00;G
1957-01-23;06:00:00;0.00;G
1957-01-24;06:00:00;0.00;G
1957-01-25;06:00:00;0.00;G
1957-01-29;06:00:00;0.00;G
1957-01-30;06:00:00;0.00;G
1957-01-31;06:00:00;0.00;G
1957-02-03;06:00:00;0.00;G
1957-02-04;06:00:00;0.00;G
1957-02-05;06:00:00;0.00;G
1957-02-06;06:00:00;0.00;G
1957-02-07;06:00:00;0.00;G
1957-02-08;06:00:00;0.00;G
1957-11-23;06:00:00;0.03;G
