Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Falerum;86090;SMHIs stationsnät;0.0

Parameternamn;Beskrivning;Enhet
Snödjup;momentanvärde, 1 gång/dygn, kl 06;meter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1968-11-01 00:00:00;1979-04-30 23:59:59;80.0;58.1425;16.2102

Datum;Tid (UTC);Snödjup;Kvalitet;;Tidsutsnitt:
1968-11-08;06:00:00;0.05;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1968-11-09;06:00:00;0.02;Y;;Tidsperiod (fr.o.m.) = 1968-11-01 00:00:00 (UTC)
1968-11-12;06:00:00;0.00;Y;;Tidsperiod (t.o.m.) = 1979-04-30 23:59:59 (UTC)
1968-11-13;06:00:00;0.00;Y;;Samplingstid = Ej angivet
1968-12-01;06:00:00;0.00;Y;;
1968-12-02;06:00:00;0.00;Y;;Kvalitetskoderna:
1968-12-03;06:00:00;0.00;Y;;Grön (G) = Kontrollerade och godkända värden.
1968-12-04;06:00:00;0.00;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1968-12-05;06:00:00;0.00;Y;;
1968-12-06;06:00:00;0.00;Y;;Nätinformation:
1968-12-07;06:00:00;0.00;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1968-12-08;06:00:00;0.00;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1968-12-09;06:00:00;0.00;Y;;
1968-12-10;06:00:00;0.00;Y;;Möjliga orsaker till saknade data:
1968-12-11;06:00:00;0.00;Y;;– stationen eller givaren har varit ur funktion.
1968-12-12;06:00:00;0.00;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1968-12-13;06:00:00;0.00;Y
1968-12-14;06:00:00;0.00;Y
1968-12-15;06:00:00;0.00;Y
1968-12-16;06:00:00;0.00;Y
1968-12-17;06:00:00;0.00;Y
1968-12-18;06:00:00;0.04;Y
1968-12-19;06:00:00;0.04;Y
1968-12-20;06:00:00;0.03;Y
1968-12-21;06:00:00;0.04;Y
1968-12-22;06:00:00;0.07;Y
1968-12-23;06:00:00;0.05;Y
1968-12-24;06:00:00;0.02;Y
1968-12-25;06:00:00;0.01;Y
1968-12-26;06:00:00;0.04;Y
1968-12-27;06:00:00;0.07;Y
1968-12-28;06:00:00;0.08;Y
1968-12-29;06:00:00;0.13;Y
1968-12-30;06:00:00;0.14;Y
1968-12-31;06:00:00;0.15;Y
1969-01-01;06:00:00;0.14;Y
1969-01-02;06:00:00;0.17;Y
1969-01-03;06:00:00;0.18;Y
1969-01-04;06:00:00;0.18;Y
1969-01-05;06:00:00;0.16;Y
1969-01-06;06:00:00;0.16;Y
1969-01-07;06:00:00;0.16;Y
1969-01-08;06:00:00;0.16;Y
1969-01-09;06:00:00;0.14;Y
1969-01-10;06:00:00;0.15;Y
1969-01-11;06:00:00;0.16;Y
1969-01-12;06:00:00;0.17;Y
1969-01-13;06:00:00;0.17;Y
1969-01-14;06:00:00;0.25;Y
1969-01-15;06:00:00;0.24;Y
1969-01-16;06:00:00;0.18;Y
1969-01-17;06:00:00;0.13;Y
1969-01-18;06:00:00;0.10;Y
1969-01-19;06:00:00;0.17;Y
