Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Högstena;83610;SMHIs stationsnät;0.0

Parameternamn;Beskrivning;Enhet
Snödjup;momentanvärde, 1 gång/dygn, kl 06;meter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1962-11-01 00:00:00;1965-01-31 23:59:59;211.0;58.2333;13.7166

Datum;Tid (UTC);Snödjup;Kvalitet;;Tidsutsnitt:
1962-11-12;06:00:00;0.02;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1962-11-16;06:00:00;0.01;Y;;Tidsperiod (fr.o.m.) = 1962-11-01 00:00:00 (UTC)
1962-11-17;06:00:00;0.01;Y;;Tidsperiod (t.o.m.) = 1965-01-31 23:59:59 (UTC)
1962-11-18;06:00:00;0.01;Y;;Samplingstid = Ej angivet
1962-11-19;06:00:00;0.05;Y;;
1962-11-20;06:00:00;0.06;Y;;Kvalitetskoderna:
1962-11-21;06:00:00;0.08;Y;;Grön (G) = Kontrollerade och godkända värden.
1962-11-22;06:00:00;0.09;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1962-11-23;06:00:00;0.09;Y;;
1962-11-24;06:00:00;0.09;Y;;Nätinformation:
1962-11-25;06:00:00;0.18;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1962-11-26;06:00:00;0.14;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1962-11-27;06:00:00;0.05;Y;;
1962-11-28;06:00:00;0.05;Y;;Möjliga orsaker till saknade data:
1962-11-29;06:00:00;0.05;Y;;– stationen eller givaren har varit ur funktion.
1962-11-30;06:00:00;0.11;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1962-12-01;06:00:00;0.11;Y
1962-12-02;06:00:00;0.09;Y
1962-12-03;06:00:00;0.00;Y
1962-12-04;06:00:00;0.00;Y
1962-12-13;06:00:00;0.03;Y
1962-12-14;06:00:00;0.07;Y
1962-12-15;06:00:00;0.09;Y
1962-12-16;06:00:00;0.14;Y
1962-12-17;06:00:00;0.17;Y
1962-12-18;06:00:00;0.18;Y
