Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Bredviken;91130;SMHIs stationsnät;0.0

Parameternamn;Beskrivning;Enhet
Snödjup;momentanvärde, 1 gång/dygn, kl 06;meter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1969-01-01 00:00:00;1997-02-28 23:59:59;100.0;59.2184;11.9858

Datum;Tid (UTC);Snödjup;Kvalitet;;Tidsutsnitt:
1969-01-01;06:00:00;0.18;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1969-01-02;06:00:00;0.24;Y;;Tidsperiod (fr.o.m.) = 1969-01-01 00:00:00 (UTC)
1969-01-03;06:00:00;0.24;Y;;Tidsperiod (t.o.m.) = 1997-02-28 23:59:59 (UTC)
1969-01-04;06:00:00;0.24;Y;;Samplingstid = Ej angivet
1969-01-05;06:00:00;0.25;Y;;
1969-01-06;06:00:00;0.26;Y;;Kvalitetskoderna:
1969-01-07;06:00:00;0.26;Y;;Grön (G) = Kontrollerade och godkända värden.
1969-01-08;06:00:00;0.26;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1969-01-09;06:00:00;0.26;Y;;
1969-01-10;06:00:00;0.26;Y;;Nätinformation:
1969-01-11;06:00:00;0.25;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1969-01-12;06:00:00;0.28;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1969-01-13;06:00:00;0.28;Y;;
1969-01-14;06:00:00;0.39;Y;;Möjliga orsaker till saknade data:
1969-01-15;06:00:00;0.32;Y;;– stationen eller givaren har varit ur funktion.
1969-01-16;06:00:00;0.33;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1969-01-17;06:00:00;0.31;Y
1969-01-18;06:00:00;0.36;Y
1969-01-19;06:00:00;0.46;Y
1969-01-20;06:00:00;0.52;Y
1969-01-21;06:00:00;0.53;Y
1969-01-22;06:00:00;0.54;Y
1969-01-23;06:00:00;0.64;Y
1969-01-24;06:00:00;0.64;Y
1969-01-25;06:00:00;0.65;Y
1969-01-26;06:00:00;0.61;Y
1969-01-27;06:00:00;0.57;Y
1969-01-28;06:00:00;0.52;Y
1969-01-29;06:00:00;0.55;Y
1969-01-30;06:00:00;0.48;Y
1969-01-31;06:00:00;0.47;Y
1969-02-01;06:00:00;0.47;Y
1969-02-02;06:00:00;0.47;Y
1969-02-03;06:00:00;0.47;Y
1969-02-04;06:00:00;0.46;Y
1969-02-05;06:00:00;0.46;Y
1969-02-06;06:00:00;0.44;Y
1969-02-07;06:00:00;0.44;Y
1969-02-08;06:00:00;0.47;Y
1969-02-09;06:00:00;0.49;Y
1969-02-10;06:00:00;0.51;Y
1969-02-11;06:00:00;0.51;Y
1969-02-12;06:00:00;0.51;Y
1969-02-13;06:00:00;0.53;Y
1969-02-14;06:00:00;0.55;Y
1969-02-15;06:00:00;0.55;Y
1969-02-16;06:00:00;0.55;Y
1969-02-17;06:00:00;0.56;Y
1969-02-18;06:00:00;0.56;Y
1969-02-19;06:00:00;0.56;Y
1969-02-20;06:00:00;0.55;Y
1969-02-21;06:00:00;0.55;Y
1969-02-22;06:00:00;0.58;Y
1969-02-23;06:00:00;0.62;Y
1969-02-24;06:00:00;0.62;Y
1969-02-25;06:00:00;0.62;Y
1969-02-26;06:00:00;0.62;Y
1969-02-27;06:00:00;0.62;Y
1969-02-28;06:00:00;0.61;Y
1969-03-01;06:00:00;0.61;Y
1969-03-02;06:00:00;0.61;Y
1969-03-03;06:00:00;0.61;Y
1969-03-04;06:00:00;0.60;Y
1969-03-05;06:00:00;0.55;Y
1969-03-06;06:00:00;0.48;Y
1969-03-07;06:00:00;0.47;Y
1969-03-08;06:00:00;0.47;Y
1969-03-09;06:00:00;0.47;Y
1969-03-10;06:00:00;0.47;Y
1969-03-11;06:00:00;0.47;Y
1969-03-12;06:00:00;0.47;Y
1969-03-13;06:00:00;0.47;Y
1969-03-14;06:00:00;0.47;Y
1969-03-15;06:00:00;0.47;Y
1969-03-16;06:00:00;0.47;Y
1969-03-17;06:00:00;0.47;Y
1969-03-18;06:00:00;0.47;Y
1969-03-19;06:00:00;0.47;Y
1969-03-20;06:00:00;0.46;Y
1969-03-21;06:00:00;0.46;Y
1969-03-22;06:00:00;0.45;Y
1969-03-23;06:00:00;0.43;Y
1969-03-24;06:00:00;0.43;Y
1969-03-25;06:00:00;0.42;Y
1969-03-26;06:00:00;0.41;Y
1969-03-27;06:00:00;0.40;Y
1969-03-28;06:00:00;0.39;Y
1969-03-29;06:00:00;0.37;Y
1969-03-30;06:00:00;0.36;Y
1969-03-31;06:00:00;0.33;Y
1969-04-01;06:00:00;0.33;Y
1969-04-02;06:00:00;0.32;Y
1969-04-03;06:00:00;0.29;Y
1969-04-04;06:00:00;0.25;Y
1969-04-05;06:00:00;0.19;Y
1969-04-06;06:00:00;0.17;Y
1969-04-07;06:00:00;0.13;Y
1969-04-08;06:00:00;0.09;Y
1969-04-09;06:00:00;0.08;Y
1969-04-10;06:00:00;0.02;Y
1969-04-11;06:00:00;0.00;Y
1969-04-12;06:00:00;0.00;Y
1969-04-13;06:00:00;0.00;Y
1969-04-14;06:00:00;0.00;Y
1969-04-15;06:00:00;0.00;Y
1969-04-16;06:00:00;0.00;Y
1969-04-17;06:00:00;0.00;Y
