Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Sala;96550;SMHIs stationsnät;0.0

Parameternamn;Beskrivning;Enhet
Snödjup;momentanvärde, 1 gång/dygn, kl 06;meter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1951-11-01 00:00:00;1975-03-31 23:59:59;56.0;59.9120;16.5891
1975-11-01 00:00:00;1976-11-30 23:59:59;63.0;59.9136;16.5804
1982-02-01 00:00:00;2025-01-31 23:59:59;56.295;59.9036;16.6579

Datum;Tid (UTC);Snödjup;Kvalitet;;Tidsutsnitt:
1951-11-16;06:00:00;0.00;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1951-11-17;06:00:00;0.00;G;;Tidsperiod (fr.o.m.) = 1951-11-01 00:00:00 (UTC)
1952-01-14;06:00:00;0.00;G;;Tidsperiod (t.o.m.) = 2024-12-01 06:00:00 (UTC)
1952-01-15;06:00:00;0.07;G;;Samplingstid = Ej angivet
1952-01-16;06:00:00;0.00;G;;
1952-01-18;06:00:00;0.13;G;;Kvalitetskoderna:
1952-01-20;06:00:00;0.13;G;;Grön (G) = Kontrollerade och godkända värden.
1952-01-21;06:00:00;0.13;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1952-01-22;06:00:00;0.13;G;;
1952-01-23;06:00:00;0.13;G;;Nätinformation:
1952-01-24;06:00:00;0.14;G;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1952-01-25;06:00:00;0.15;G;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1952-01-26;06:00:00;0.15;G;;
1952-01-27;06:00:00;0.16;G;;Möjliga orsaker till saknade data:
1952-01-28;06:00:00;0.16;G;;– stationen eller givaren har varit ur funktion.
1952-01-29;06:00:00;0.16;G;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1952-01-30;06:00:00;0.15;G
1952-01-31;06:00:00;0.15;G
1952-02-01;06:00:00;0.15;G
1952-02-02;06:00:00;0.21;G
1952-02-04;06:00:00;0.19;G
1952-02-05;06:00:00;0.19;G
1952-02-06;06:00:00;0.19;G
1952-02-07;06:00:00;0.20;G
1952-02-08;06:00:00;0.20;G
1952-02-09;06:00:00;0.19;G
1952-02-10;06:00:00;0.19;G
1952-02-11;06:00:00;0.19;G
1952-02-12;06:00:00;0.19;G
1952-02-13;06:00:00;0.19;G
1952-02-14;06:00:00;0.19;G
1952-02-15;06:00:00;0.19;G
1952-02-16;06:00:00;0.19;G
1952-02-18;06:00:00;0.20;G
1952-02-19;06:00:00;0.21;G
1952-02-20;06:00:00;0.21;G
1952-02-21;06:00:00;0.20;G
1952-02-22;06:00:00;0.20;G
1952-02-23;06:00:00;0.20;G
1952-02-24;06:00:00;0.20;G
1952-02-25;06:00:00;0.20;G
1952-02-26;06:00:00;0.18;G
1952-02-27;06:00:00;0.10;G
1952-02-28;06:00:00;0.00;G
1952-02-29;06:00:00;0.00;G
1952-03-01;06:00:00;0.00;G
1952-03-02;06:00:00;0.00;G
1952-03-03;06:00:00;0.00;G
1952-03-04;06:00:00;0.00;G
1952-03-05;06:00:00;0.00;G
1952-03-06;06:00:00;0.00;G
1952-03-07;06:00:00;0.00;G
1952-03-08;06:00:00;0.00;G
1952-03-09;06:00:00;0.00;G
1952-03-10;06:00:00;0.00;G
1952-03-11;06:00:00;0.00;G
1952-03-12;06:00:00;0.00;G
1952-03-13;06:00:00;0.00;G
1952-03-14;06:00:00;0.00;G
1952-03-15;06:00:00;0.00;G
1952-03-16;06:00:00;0.00;G
1952-03-17;06:00:00;0.00;G
1952-03-18;06:00:00;0.00;G
1952-03-19;06:00:00;0.00;G
1952-03-20;06:00:00;0.00;G
1952-03-21;06:00:00;0.00;G
1952-03-22;06:00:00;0.00;G
1952-03-23;06:00:00;0.00;G
1952-03-24;06:00:00;0.00;G
1952-03-25;06:00:00;0.00;G
1952-03-26;06:00:00;0.00;G
1952-03-27;06:00:00;0.00;G
1952-03-28;06:00:00;0.00;G
1952-03-29;06:00:00;0.00;G
1952-03-30;06:00:00;0.00;G
1952-03-31;06:00:00;0.00;G
1952-04-01;06:00:00;0.00;G
1952-04-04;06:00:00;0.00;G
1952-04-05;06:00:00;0.00;G
1952-04-06;06:00:00;0.00;G
1952-04-07;06:00:00;0.00;G
1952-04-08;06:00:00;0.00;G
1952-11-09;06:00:00;0.03;G
1952-11-10;06:00:00;0.03;G
1952-11-11;06:00:00;0.03;G
1952-11-12;06:00:00;0.04;G
1952-11-13;06:00:00;0.00;G
1952-11-17;06:00:00;0.07;G
1952-11-18;06:00:00;0.07;G
1952-11-19;06:00:00;0.07;G
1952-11-20;06:00:00;0.07;G
1952-11-21;06:00:00;0.05;G
1952-11-22;06:00:00;0.00;G
1952-11-23;06:00:00;0.00;G
1952-11-24;06:00:00;0.00;G
1952-11-25;06:00:00;0.00;G
1952-11-26;06:00:00;0.00;G
1952-11-27;06:00:00;0.05;G
1952-11-28;06:00:00;0.07;G
1952-11-29;06:00:00;0.08;G
1952-11-30;06:00:00;0.08;G
1952-12-01;06:00:00;0.08;G
1952-12-03;06:00:00;0.14;G
1952-12-04;06:00:00;0.14;G
1952-12-05;06:00:00;0.14;G
1952-12-06;06:00:00;0.12;G
1952-12-07;06:00:00;0.12;G
1952-12-08;06:00:00;0.12;G
1952-12-09;06:00:00;0.11;G
1952-12-10;06:00:00;0.08;G
