Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Risinge;108110;SMHIs stationsnät;0.0

Parameternamn;Beskrivning;Enhet
Snödjup;momentanvärde, 1 gång/dygn, kl 06;meter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1962-02-01 00:00:00;2019-02-28 23:59:59;17.21;60.1748;18.2240

Datum;Tid (UTC);Snödjup;Kvalitet;;Tidsutsnitt:
1962-02-14;06:00:00;0.28;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1962-03-21;06:00:00;0.28;G;;Tidsperiod (fr.o.m.) = 1962-02-01 00:00:00 (UTC)
1962-03-28;06:00:00;0.26;G;;Tidsperiod (t.o.m.) = 2019-02-28 23:59:59 (UTC)
1962-04-09;06:00:00;0.00;G;;Samplingstid = Ej angivet
1962-12-09;06:00:00;0.00;G;;
1962-12-13;06:00:00;0.00;G;;Kvalitetskoderna:
1963-11-25;06:00:00;0.00;G;;Grön (G) = Kontrollerade och godkända värden.
1963-11-26;06:00:00;0.00;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1963-12-28;06:00:00;0.00;G;;
1963-12-30;06:00:00;0.00;G;;Nätinformation:
1964-04-10;06:00:00;0.00;G;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1964-11-21;06:00:00;0.00;G;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1964-11-25;06:00:00;0.00;G;;
1964-12-09;06:00:00;0.00;G;;Möjliga orsaker till saknade data:
1964-12-10;06:00:00;0.00;G;;– stationen eller givaren har varit ur funktion.
1964-12-19;06:00:00;0.00;G;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1965-03-27;06:00:00;0.00;G
1965-11-22;06:00:00;0.10;Y
1965-11-30;06:00:00;0.14;Y
1965-12-21;06:00:00;0.70;Y
1966-02-24;06:00:00;0.75;Y
1966-11-28;06:00:00;0.00;G
1966-11-30;06:00:00;0.00;G
1966-12-02;06:00:00;0.00;G
1966-12-09;06:00:00;0.00;G
1966-12-14;06:00:00;0.35;Y
1966-12-19;06:00:00;0.00;G
1967-03-05;06:00:00;0.00;G
1967-03-10;06:00:00;0.00;G
1967-04-19;06:00:00;0.00;G
1967-05-02;06:00:00;0.00;G
