Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Viksta;107020;SMHIs stationsnät;0.0

Parameternamn;Beskrivning;Enhet
Snödjup;momentanvärde, 1 gång/dygn, kl 06;meter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1952-01-01 00:00:00;1953-03-31 23:59:59;103.0;60.0694;17.6181

Datum;Tid (UTC);Snödjup;Kvalitet;;Tidsutsnitt:
1952-01-01;06:00:00;0.00;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1952-01-02;06:00:00;0.00;Y;;Tidsperiod (fr.o.m.) = 1952-01-01 00:00:00 (UTC)
1952-01-07;06:00:00;0.00;Y;;Tidsperiod (t.o.m.) = 1953-03-31 23:59:59 (UTC)
1952-01-08;06:00:00;0.00;Y;;Samplingstid = Ej angivet
1952-01-09;06:00:00;0.00;Y;;
1952-01-10;06:00:00;0.00;Y;;Kvalitetskoderna:
1952-01-11;06:00:00;0.00;Y;;Grön (G) = Kontrollerade och godkända värden.
1952-01-17;06:00:00;0.00;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1952-01-18;06:00:00;0.00;Y;;
1952-02-28;06:00:00;0.00;Y;;Nätinformation:
1952-02-29;06:00:00;0.00;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1952-03-16;06:00:00;0.00;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1952-03-17;06:00:00;0.00;Y;;
1952-03-18;06:00:00;0.00;Y;;Möjliga orsaker till saknade data:
1952-03-19;06:00:00;0.00;Y;;– stationen eller givaren har varit ur funktion.
1952-03-20;06:00:00;0.00;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1952-03-21;06:00:00;0.00;Y
1952-03-22;06:00:00;0.00;Y
1952-03-23;06:00:00;0.00;Y
1952-04-07;06:00:00;0.00;Y
1952-04-08;06:00:00;0.00;Y
1952-04-09;06:00:00;0.00;Y
1952-04-10;06:00:00;0.00;Y
1952-04-11;06:00:00;0.00;Y
1952-04-12;06:00:00;0.00;Y
1952-04-13;06:00:00;0.00;Y
1952-04-14;06:00:00;0.00;Y
1952-04-15;06:00:00;0.00;Y
1952-04-16;06:00:00;0.00;Y
1952-04-17;06:00:00;0.00;Y
1952-04-18;06:00:00;0.00;Y
1952-04-19;06:00:00;0.00;Y
1952-04-20;06:00:00;0.00;Y
1952-04-21;06:00:00;0.00;Y
1952-04-22;06:00:00;0.00;Y
1952-04-23;06:00:00;0.00;Y
1952-04-24;06:00:00;0.00;Y
1952-04-25;06:00:00;0.00;Y
1952-04-26;06:00:00;0.00;Y
1952-04-27;06:00:00;0.00;Y
1952-04-28;06:00:00;0.00;Y
1952-04-29;06:00:00;0.00;Y
1952-04-30;06:00:00;0.00;Y
1952-05-01;06:00:00;0.00;Y
1952-05-02;06:00:00;0.00;Y
1952-05-03;06:00:00;0.00;Y
1952-05-04;06:00:00;0.00;Y
1952-05-05;06:00:00;0.00;Y
1952-05-06;06:00:00;0.00;Y
1952-05-07;06:00:00;0.00;Y
1952-05-08;06:00:00;0.00;Y
1952-05-09;06:00:00;0.00;Y
1952-05-10;06:00:00;0.00;Y
1952-05-11;06:00:00;0.00;Y
1952-05-12;06:00:00;0.00;Y
1952-05-13;06:00:00;0.00;Y
1952-05-14;06:00:00;0.00;Y
1952-05-15;06:00:00;0.00;Y
1952-05-16;06:00:00;0.00;Y
1952-05-17;06:00:00;0.00;Y
1952-05-18;06:00:00;0.00;Y
1952-05-19;06:00:00;0.00;Y
1952-05-20;06:00:00;0.00;Y
1952-05-21;06:00:00;0.00;Y
1952-05-22;06:00:00;0.00;Y
1952-05-23;06:00:00;0.00;Y
1952-05-24;06:00:00;0.00;Y
1952-05-25;06:00:00;0.00;Y
1952-05-26;06:00:00;0.00;Y
1952-05-27;06:00:00;0.00;Y
1952-05-28;06:00:00;0.00;Y
1952-05-29;06:00:00;0.00;Y
1952-05-30;06:00:00;0.00;Y
1952-05-31;06:00:00;0.00;Y
1952-06-01;06:00:00;0.00;Y
1952-06-02;06:00:00;0.00;Y
1952-06-03;06:00:00;0.00;Y
1952-06-04;06:00:00;0.00;Y
1952-06-05;06:00:00;0.00;Y
1952-06-06;06:00:00;0.00;Y
1952-06-07;06:00:00;0.00;Y
1952-06-08;06:00:00;0.00;Y
1952-06-09;06:00:00;0.00;Y
1952-06-10;06:00:00;0.00;Y
1952-06-11;06:00:00;0.00;Y
1952-06-12;06:00:00;0.00;Y
1952-06-13;06:00:00;0.00;Y
1952-06-14;06:00:00;0.00;Y
1952-06-15;06:00:00;0.00;Y
1952-06-16;06:00:00;0.00;Y
1952-06-17;06:00:00;0.00;Y
1952-06-18;06:00:00;0.00;Y
1952-06-19;06:00:00;0.00;Y
1952-06-20;06:00:00;0.00;Y
1952-06-21;06:00:00;0.00;Y
1952-06-22;06:00:00;0.00;Y
1952-06-23;06:00:00;0.00;Y
1952-06-24;06:00:00;0.00;Y
1952-06-25;06:00:00;0.00;Y
1952-06-26;06:00:00;0.00;Y
1952-06-27;06:00:00;0.00;Y
1952-06-28;06:00:00;0.00;Y
1952-06-29;06:00:00;0.00;Y
1952-06-30;06:00:00;0.00;Y
1952-07-01;06:00:00;0.00;Y
1952-07-02;06:00:00;0.00;Y
1952-07-03;06:00:00;0.00;Y
1952-07-04;06:00:00;0.00;Y
1952-07-05;06:00:00;0.00;Y
1952-07-06;06:00:00;0.00;Y
1952-07-07;06:00:00;0.00;Y
1952-07-08;06:00:00;0.00;Y
1952-07-09;06:00:00;0.00;Y
1952-07-10;06:00:00;0.00;Y
1952-07-11;06:00:00;0.00;Y
1952-07-12;06:00:00;0.00;Y
1952-07-13;06:00:00;0.00;Y
1952-07-14;06:00:00;0.00;Y
1952-07-15;06:00:00;0.00;Y
1952-07-16;06:00:00;0.00;Y
1952-07-17;06:00:00;0.00;Y
1952-07-18;06:00:00;0.00;Y
1952-07-19;06:00:00;0.00;Y
1952-07-20;06:00:00;0.00;Y
1952-07-21;06:00:00;0.00;Y
1952-07-22;06:00:00;0.00;Y
1952-07-23;06:00:00;0.00;Y
1952-07-24;06:00:00;0.00;Y
1952-07-25;06:00:00;0.00;Y
1952-07-26;06:00:00;0.00;Y
1952-07-27;06:00:00;0.00;Y
1952-07-28;06:00:00;0.00;Y
1952-07-29;06:00:00;0.00;Y
1952-07-30;06:00:00;0.00;Y
1952-07-31;06:00:00;0.00;Y
1952-08-01;06:00:00;0.00;Y
1952-08-02;06:00:00;0.00;Y
