Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Stenstugu Försöksgård;78360;SMHIs stationsnät;0.0

Parameternamn;Beskrivning;Enhet
Snödjup;momentanvärde, 1 gång/dygn, kl 06;meter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1954-12-01 00:00:00;1955-04-30 23:59:59;45.0;57.5979;18.4507

Datum;Tid (UTC);Snödjup;Kvalitet;;Tidsutsnitt:
1954-12-01;06:00:00;0.00;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1954-12-02;06:00:00;0.00;G;;Tidsperiod (fr.o.m.) = 1954-12-01 00:00:00 (UTC)
1954-12-03;06:00:00;0.00;G;;Tidsperiod (t.o.m.) = 1955-04-30 23:59:59 (UTC)
1954-12-04;06:00:00;0.00;G;;Samplingstid = Ej angivet
1954-12-05;06:00:00;0.00;G;;
1954-12-06;06:00:00;0.00;G;;Kvalitetskoderna:
1954-12-07;06:00:00;0.00;G;;Grön (G) = Kontrollerade och godkända värden.
1954-12-08;06:00:00;0.01;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1954-12-09;06:00:00;0.01;G;;
1954-12-10;06:00:00;0.00;G;;Nätinformation:
1954-12-11;06:00:00;0.00;G;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1954-12-12;06:00:00;0.00;G;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1954-12-13;06:00:00;0.00;G;;
1954-12-14;06:00:00;0.00;G;;Möjliga orsaker till saknade data:
1954-12-15;06:00:00;0.00;G;;– stationen eller givaren har varit ur funktion.
1954-12-16;06:00:00;0.00;G;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1954-12-17;06:00:00;0.00;G
1954-12-18;06:00:00;0.00;G
1954-12-19;06:00:00;0.00;G
1954-12-20;06:00:00;0.00;G
1954-12-21;06:00:00;0.00;G
1954-12-22;06:00:00;0.00;G
1954-12-23;06:00:00;0.00;G
1954-12-24;06:00:00;0.00;G
1954-12-25;06:00:00;0.03;G
1954-12-26;06:00:00;0.03;G
1954-12-27;06:00:00;0.05;G
1954-12-29;06:00:00;0.00;G
1954-12-30;06:00:00;0.00;G
1954-12-31;06:00:00;0.00;G
1955-01-01;06:00:00;0.00;G
1955-01-02;06:00:00;0.00;G
1955-01-03;06:00:00;0.00;G
1955-01-04;06:00:00;0.02;G
1955-01-05;06:00:00;0.02;G
1955-01-06;06:00:00;0.02;G
1955-01-07;06:00:00;0.02;G
1955-01-08;06:00:00;0.01;G
1955-01-09;06:00:00;0.02;G
1955-01-10;06:00:00;0.03;G
1955-01-11;06:00:00;0.11;G
1955-01-12;06:00:00;0.08;G
1955-01-13;06:00:00;0.07;G
1955-01-14;06:00:00;0.06;G
1955-01-15;06:00:00;0.04;G
1955-01-16;06:00:00;0.06;G
1955-01-17;06:00:00;0.14;G
1955-01-18;06:00:00;0.17;G
1955-01-19;06:00:00;0.19;G
1955-01-20;06:00:00;0.23;G
1955-01-21;06:00:00;0.23;G
1955-01-22;06:00:00;0.22;G
1955-01-23;06:00:00;0.21;G
1955-01-24;06:00:00;0.19;G
1955-01-25;06:00:00;0.14;G
1955-01-26;06:00:00;0.10;G
1955-01-27;06:00:00;0.04;G
1955-01-29;06:00:00;0.00;G
1955-01-30;06:00:00;0.00;G
1955-01-31;06:00:00;0.00;G
1955-02-01;06:00:00;0.00;G
1955-02-02;06:00:00;0.00;G
1955-02-09;06:00:00;0.00;G
1955-02-10;06:00:00;0.03;G
1955-02-11;06:00:00;0.04;G
1955-02-12;06:00:00;0.08;G
1955-02-13;06:00:00;0.10;G
1955-02-14;06:00:00;0.10;G
1955-02-15;06:00:00;0.16;G
1955-02-16;06:00:00;0.22;G
1955-02-17;06:00:00;0.28;G
1955-02-18;06:00:00;0.43;G
1955-02-19;06:00:00;0.40;G
1955-02-20;06:00:00;0.37;G
1955-02-21;06:00:00;0.35;G
1955-02-22;06:00:00;0.35;G
1955-02-23;06:00:00;0.33;G
1955-02-24;06:00:00;0.35;G
1955-04-01;06:00:00;0.30;G
1955-04-02;06:00:00;0.30;G
1955-04-03;06:00:00;0.27;G
1955-04-04;06:00:00;0.22;G
1955-04-05;06:00:00;0.17;G
1955-04-06;06:00:00;0.18;G
1955-04-07;06:00:00;0.19;G
1955-04-08;06:00:00;0.25;G
1955-04-09;06:00:00;0.25;G
1955-04-10;06:00:00;0.20;G
1955-04-11;06:00:00;0.15;G
1955-04-12;06:00:00;0.05;G
1955-04-21;06:00:00;0.00;G
1955-04-22;06:00:00;0.00;G
1955-04-23;06:00:00;0.00;G
1955-04-24;06:00:00;0.00;G
1955-04-25;06:00:00;0.00;G
1955-04-26;06:00:00;0.00;G
1955-04-27;06:00:00;0.00;G
1955-04-28;06:00:00;0.00;G
1955-04-29;06:00:00;0.00;G
1955-04-30;06:00:00;0.00;G
