Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Lanna;83210;SMHIs stationsnät;0.0

Parameternamn;Beskrivning;Enhet
Snödjup;momentanvärde, 1 gång/dygn, kl 06;meter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1945-01-01 00:00:00;2025-02-28 23:59:59;74.87;58.3472;13.1270

Datum;Tid (UTC);Snödjup;Kvalitet;;Tidsutsnitt:
1950-02-13;06:00:00;0.20;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1950-02-16;06:00:00;0.30;G;;Tidsperiod (fr.o.m.) = 1945-01-01 00:00:00 (UTC)
1950-02-19;06:00:00;0.00;G;;Tidsperiod (t.o.m.) = 2024-12-01 06:00:00 (UTC)
1950-02-27;06:00:00;0.06;G;;Samplingstid = Ej angivet
1951-01-05;06:00:00;0.18;G;;
1951-02-02;06:00:00;0.10;G;;Kvalitetskoderna:
2008-04-04;06:00:00;0.01;Y;;Grön (G) = Kontrollerade och godkända värden.
2010-10-01;06:00:00;0.00;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2010-10-02;06:00:00;0.00;G;;
2010-10-03;06:00:00;0.00;G;;Nätinformation:
2010-10-04;06:00:00;0.00;G;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
2010-10-05;06:00:00;0.00;G;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
2010-10-06;06:00:00;0.00;G;;
2010-10-07;06:00:00;0.00;G;;Möjliga orsaker till saknade data:
2010-10-08;06:00:00;0.00;G;;– stationen eller givaren har varit ur funktion.
2010-10-09;06:00:00;0.00;G;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
2010-10-10;06:00:00;0.00;G
2010-10-11;06:00:00;0.00;G
2010-10-12;06:00:00;0.00;G
2010-10-13;06:00:00;0.00;G
2010-10-14;06:00:00;0.00;G
2010-10-15;06:00:00;0.00;G
2010-10-16;06:00:00;0.00;G
2010-10-17;06:00:00;0.00;G
2010-10-18;06:00:00;0.00;G
2010-10-19;06:00:00;0.00;G
2010-10-20;06:00:00;0.00;G
2010-10-21;06:00:00;0.00;G
2010-10-22;06:00:00;0.00;G
2010-10-23;06:00:00;0.00;G
2010-10-24;06:00:00;0.00;G
2010-10-25;06:00:00;0.00;G
2010-10-26;06:00:00;0.00;G
2010-10-27;06:00:00;0.00;G
2010-10-28;06:00:00;0.00;G
2010-10-29;06:00:00;0.00;G
2010-10-30;06:00:00;0.00;G
2010-10-31;06:00:00;0.00;G
2011-03-28;06:00:00;0.00;G
2011-05-26;06:00:00;0.00;G
2011-05-27;06:00:00;0.00;G
2011-08-25;06:00:00;0.00;G
2011-08-26;06:00:00;0.00;G
2012-02-01;06:00:00;0.02;G
2012-02-02;06:00:00;0.02;G
2012-02-03;06:00:00;0.02;G
2012-02-04;06:00:00;0.03;G
2012-02-05;06:00:00;0.03;G
2012-02-06;06:00:00;0.03;G
2012-02-07;06:00:00;0.03;G
2012-02-08;06:00:00;0.03;G
2012-02-09;06:00:00;0.03;G
2012-02-10;06:00:00;0.03;G
2012-02-11;06:00:00;0.02;G
2012-02-12;06:00:00;0.02;G
2012-02-13;06:00:00;0.02;G
2012-02-14;06:00:00;0.04;G
2012-02-15;06:00:00;0.07;G
2012-02-16;06:00:00;0.07;G
2012-02-17;06:00:00;0.05;G
2012-02-18;06:00:00;0.05;G
2012-02-19;06:00:00;0.03;G
2012-02-20;06:00:00;0.03;G
2012-02-21;06:00:00;0.02;G
2012-02-22;06:00:00;0.00;G
2012-02-23;06:00:00;0.00;G
2012-02-24;06:00:00;0.00;G
2012-02-25;06:00:00;0.00;G
2012-02-26;06:00:00;0.00;G
2012-02-27;06:00:00;0.00;G
2012-02-28;06:00:00;0.00;G
2012-02-29;06:00:00;0.00;G
2020-12-04;06:00:00;0.00;Y
2021-02-01;06:00:00;0.01;G
2021-02-02;06:00:00;0.07;G
2021-02-03;06:00:00;0.07;G
2021-02-08;06:00:00;0.07;G
2021-02-21;06:00:00;0.00;G
2021-02-22;06:00:00;0.00;G
2021-02-23;06:00:00;0.00;G
2021-02-24;06:00:00;0.00;G
2021-02-25;06:00:00;0.00;G
2021-02-26;06:00:00;0.00;G
2021-02-27;06:00:00;0.00;G
2021-02-28;06:00:00;0.00;G
2021-08-01;06:00:00;0.00;G
2021-08-02;06:00:00;0.00;G
2021-08-03;06:00:00;0.00;G
2021-08-04;06:00:00;0.00;G
2021-08-05;06:00:00;0.00;G
2021-08-06;06:00:00;0.00;G
2021-08-09;06:00:00;0.00;G
2021-08-10;06:00:00;0.00;G
2021-08-11;06:00:00;0.00;G
2021-08-12;06:00:00;0.00;G
2021-08-13;06:00:00;0.00;G
2021-08-16;06:00:00;0.00;G
2021-08-17;06:00:00;0.00;G
2021-08-18;06:00:00;0.00;G
2021-08-19;06:00:00;0.00;G
2021-08-20;06:00:00;0.00;G
2021-08-23;06:00:00;0.00;G
2021-08-24;06:00:00;0.00;G
2021-08-25;06:00:00;0.00;G
2021-08-26;06:00:00;0.00;G
2021-08-27;06:00:00;0.00;G
2021-08-30;06:00:00;0.00;G
2021-08-31;06:00:00;0.00;G
2021-09-01;06:00:00;0.00;G
2021-09-02;06:00:00;0.00;G
2021-09-03;06:00:00;0.00;G
2021-09-04;06:00:00;0.00;G
2021-09-06;06:00:00;0.00;G
2021-09-07;06:00:00;0.00;G
2021-09-08;06:00:00;0.00;G
2021-09-09;06:00:00;0.00;G
2021-09-10;06:00:00;0.00;G
2021-09-13;06:00:00;0.00;G
2021-09-14;06:00:00;0.00;G
2021-09-15;06:00:00;0.00;G
2021-09-16;06:00:00;0.00;G
2021-09-17;06:00:00;0.00;G
2021-09-20;06:00:00;0.00;G
2021-09-21;06:00:00;0.00;G
2021-09-22;06:00:00;0.00;G
2021-09-23;06:00:00;0.00;G
2021-09-24;06:00:00;0.00;G
2021-09-27;06:00:00;0.00;G
2021-09-28;06:00:00;0.00;G
2021-09-29;06:00:00;0.00;G
2021-09-30;06:00:00;0.00;G
2021-10-01;06:00:00;0.00;G
2021-10-04;06:00:00;0.00;G
2021-10-05;06:00:00;0.00;G
2021-10-06;06:00:00;0.00;G
2021-10-07;06:00:00;0.00;G
2021-10-08;06:00:00;0.00;G
2021-10-11;06:00:00;0.00;G
2021-10-12;06:00:00;0.00;G
2021-10-13;06:00:00;0.00;G
2021-10-14;06:00:00;0.00;G
2021-10-15;06:00:00;0.00;G
2021-10-18;06:00:00;0.00;Y
2021-10-19;06:00:00;0.00;G
2021-10-20;06:00:00;0.00;G
2021-10-21;06:00:00;0.00;G
2021-10-22;06:00:00;0.00;G
2021-10-25;06:00:00;0.00;G
2021-10-26;06:00:00;0.00;G
2021-10-27;06:00:00;0.00;G
2021-10-28;06:00:00;0.00;G
2021-10-29;06:00:00;0.00;G
2021-11-01;06:00:00;0.00;G
2021-11-02;06:00:00;0.00;G
2021-11-03;06:00:00;0.00;G
2021-11-04;06:00:00;0.00;G
2021-11-05;06:00:00;0.00;G
2021-11-08;06:00:00;0.00;G
