Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Stenkvista;96210;SMHIs stationsnät;0.0

Parameternamn;Beskrivning;Enhet
Snödjup;momentanvärde, 1 gång/dygn, kl 06;meter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1959-04-01 00:00:00;1967-04-30 23:59:59;35.0;59.3221;16.5577
1967-10-01 00:00:00;1997-12-31 23:59:59;45.0;59.3221;16.5577

Datum;Tid (UTC);Snödjup;Kvalitet;;Tidsutsnitt:
1959-04-01;06:00:00;0.00;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1959-04-02;06:00:00;0.00;G;;Tidsperiod (fr.o.m.) = 1959-04-01 00:00:00 (UTC)
1959-04-03;06:00:00;0.00;G;;Tidsperiod (t.o.m.) = 1997-12-31 23:59:59 (UTC)
1959-04-04;06:00:00;0.00;G;;Samplingstid = Ej angivet
1959-04-05;06:00:00;0.00;G;;
1959-04-06;06:00:00;0.00;G;;Kvalitetskoderna:
1959-04-07;06:00:00;0.00;G;;Grön (G) = Kontrollerade och godkända värden.
1959-04-08;06:00:00;0.00;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1959-04-09;06:00:00;0.00;G;;
1959-04-14;06:00:00;0.00;G;;Nätinformation:
1959-04-15;06:00:00;0.00;G;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1959-04-16;06:00:00;0.00;G;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1959-04-17;06:00:00;0.00;G;;
1959-04-18;06:00:00;0.00;G;;Möjliga orsaker till saknade data:
1959-04-19;06:00:00;0.00;G;;– stationen eller givaren har varit ur funktion.
1959-04-20;06:00:00;0.00;G;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1959-04-21;06:00:00;0.00;G
1959-04-22;06:00:00;0.00;G
1959-04-23;06:00:00;0.00;G
1959-04-24;06:00:00;0.00;G
1959-04-25;06:00:00;0.00;G
1959-04-26;06:00:00;0.00;G
1959-04-27;06:00:00;0.00;G
1959-04-28;06:00:00;0.00;G
1959-04-29;06:00:00;0.00;G
1959-04-30;06:00:00;0.00;G
1959-07-01;06:00:00;0.00;G
1959-09-01;06:00:00;0.00;G
1959-10-01;06:00:00;0.00;G
1959-11-01;06:00:00;0.00;G
1959-11-17;06:00:00;0.00;G
1959-11-18;06:00:00;0.00;G
1959-11-19;06:00:00;0.02;G
1959-11-20;06:00:00;0.00;G
1959-12-01;06:00:00;0.00;G
1959-12-06;06:00:00;0.00;G
1959-12-07;06:00:00;0.00;G
1959-12-08;06:00:00;0.00;G
1959-12-09;06:00:00;0.01;G
1959-12-10;06:00:00;0.05;G
