Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Buttle;78240;SMHIs stationsnät;0.0

Parameternamn;Beskrivning;Enhet
Snödjup;momentanvärde, 1 gång/dygn, kl 06;meter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1953-12-01 00:00:00;1962-05-25 23:59:59;45.0;57.4000;18.5000
1962-11-01 00:00:00;1983-07-31 23:59:59;45.0;57.4034;18.5297

Datum;Tid (UTC);Snödjup;Kvalitet;;Tidsutsnitt:
1953-12-21;06:00:00;0.08;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1953-12-25;06:00:00;0.00;G;;Tidsperiod (fr.o.m.) = 1953-12-01 00:00:00 (UTC)
1953-12-26;06:00:00;0.00;G;;Tidsperiod (t.o.m.) = 1983-07-31 23:59:59 (UTC)
1953-12-27;06:00:00;0.00;G;;Samplingstid = Ej angivet
1953-12-28;06:00:00;0.00;G;;
1953-12-29;06:00:00;0.04;G;;Kvalitetskoderna:
1953-12-30;06:00:00;0.08;G;;Grön (G) = Kontrollerade och godkända värden.
1953-12-31;06:00:00;0.06;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1954-01-01;06:00:00;0.05;G;;
1954-01-02;06:00:00;0.03;G;;Nätinformation:
1954-01-03;06:00:00;0.00;G;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1954-01-10;06:00:00;0.03;G;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1954-01-11;06:00:00;0.09;G;;
1954-01-12;06:00:00;0.09;G;;Möjliga orsaker till saknade data:
1954-01-13;06:00:00;0.09;G;;– stationen eller givaren har varit ur funktion.
1954-01-15;06:00:00;0.00;G;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1954-01-16;06:00:00;0.00;G
1954-01-17;06:00:00;0.00;G
1954-01-18;06:00:00;0.00;G
1954-01-19;06:00:00;0.00;G
1954-01-24;06:00:00;0.02;G
1954-01-25;06:00:00;0.04;G
1954-01-26;06:00:00;0.04;G
1954-01-27;06:00:00;0.04;G
1954-01-28;06:00:00;0.04;G
1954-01-29;06:00:00;0.07;G
1954-01-30;06:00:00;0.12;G
1954-01-31;06:00:00;0.16;G
1954-02-01;06:00:00;0.18;G
1954-02-02;06:00:00;0.18;G
1954-02-03;06:00:00;0.18;G
1954-02-04;06:00:00;0.18;G
1954-02-05;06:00:00;0.18;G
